2023-04-13 22:11:52,349 INFO    MainThread:738 [wandb_setup.py:_flush():76] Configure stats pid to 738
2023-04-13 22:11:52,350 INFO    MainThread:738 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-04-13 22:11:52,350 INFO    MainThread:738 [wandb_setup.py:_flush():76] Loading settings from /mnt/data/yingxiu/LLMCODE/wandb/settings
2023-04-13 22:11:52,350 INFO    MainThread:738 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-13 22:11:52,350 INFO    MainThread:738 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-13 22:11:52,350 INFO    MainThread:738 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'run.py', 'program': '/mnt/data/yingxiu/LLMCODE/run.py'}
2023-04-13 22:11:52,350 INFO    MainThread:738 [wandb_init.py:_log_setup():506] Logging user logs to /mnt/data/yingxiu/LLMCODE/wandb/run-20230413_221152-bwlfyjn8/logs/debug.log
2023-04-13 22:11:52,350 INFO    MainThread:738 [wandb_init.py:_log_setup():507] Logging internal logs to /mnt/data/yingxiu/LLMCODE/wandb/run-20230413_221152-bwlfyjn8/logs/debug-internal.log
2023-04-13 22:11:52,350 INFO    MainThread:738 [wandb_init.py:init():546] calling init triggers
2023-04-13 22:11:52,350 INFO    MainThread:738 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {}
2023-04-13 22:11:52,350 INFO    MainThread:738 [wandb_init.py:init():602] starting backend
2023-04-13 22:11:52,350 INFO    MainThread:738 [wandb_init.py:init():606] setting up manager
2023-04-13 22:11:52,351 INFO    MainThread:738 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-04-13 22:11:52,370 INFO    MainThread:738 [wandb_init.py:init():613] backend started and connected
2023-04-13 22:11:52,372 INFO    MainThread:738 [wandb_init.py:init():701] updated telemetry
2023-04-13 22:11:52,372 INFO    MainThread:738 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-04-13 22:11:53,511 INFO    MainThread:738 [wandb_run.py:_on_init():2133] communicating current version
2023-04-13 22:11:58,527 INFO    MainThread:738 [wandb_run.py:_on_init():2142] got version response 
2023-04-13 22:11:58,529 INFO    MainThread:738 [wandb_init.py:init():789] starting run threads in backend
2023-04-13 22:12:10,681 INFO    MainThread:738 [wandb_run.py:_console_start():2114] atexit reg
2023-04-13 22:12:10,683 INFO    MainThread:738 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-04-13 22:12:10,683 INFO    MainThread:738 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-04-13 22:12:10,683 INFO    MainThread:738 [wandb_run.py:_redirect():2059] Redirects installed.
2023-04-13 22:12:10,684 INFO    MainThread:738 [wandb_init.py:init():831] run started, returning control to user process
2023-04-13 22:12:10,684 INFO    MainThread:738 [wandb_run.py:_config_callback():1251] config_cb None None {'model_name_or_path': '/mnt/data/yingxiu/llama-7b-hf', 'output_dir': '/mnt/data/yingxiu/LLMOUT/outputs/test', 'data_path': '/mnt/data/yingxiu/LLMDATA/alpaca_data_gpt4.json', 'exp': 'test', 'max_train_iter': None, 'num_epochs': 10, 'per_device_train_batch_size': 2, 'per_device_eval_batch_size': 4, 'max_grad_norm': 1.0, 'print_steps': 100, 'gradient_accumulation_steps': 8, 'warmup_ratio': 0.0, 'lr': 5e-05, 'scheduler': 'linear_decay_with_warmup', 'val_size': 2000, 'logging_dir': '/mnt/data/yingxiu/LLMOUT/tblogs/test', 'cutoff_len': 512}
2023-04-13 22:15:01,319 WARNING MsgRouterThr:738 [router.py:message_loop():77] message_loop has been closed
